id,address,match_type,suburb_name,sa2_code
2426,"1 & 2/33 Gloucester Road, Manurewa, Manukau City",containment_match,Manurewa East,160800
3357,"1 & 2/50 Masterton Road, Rothesay Bay, North Shore City",containment_match,Rothesay Bay,119000
910,"1 & 2/66 Allum Street, Kohimarama, Auckland City",containment_match,Mara,233900
2890,"1 Alfred Street, Northcote Point, North Shore City",containment_match,Te Poi,175100
1418,"1 Aporo Drive, Kumeu, Rodney",containment_match,Kumeū Rural East,116101
2270,"1 Arohanui Road, Paerata, Franklin",no_match,,
3,"1 Awatahi Place, Greenhithe, North Shore City",containment_match,Greenhithe West,118900
1114,"1 Cedar Heights Avenue, Massey, Waitakere City",containment_match,Massey West,121701
1871,"1 Cedar Road, Epsom, Auckland City",containment_match,Epsom East,141500
731,"1 Church View Road, Waiau Pa, Franklin",containment_match,Waiau,190100
572,"1 Courthouse Lane, Auckland Central, Auckland City",no_match,,
2718,"1 Courthouse Lane, Auckland Central, Auckland City",no_match,,
1087,"1 Courthouse Lane, Auckland Central, Auckland City",no_match,,
972,"1 Courthouse Lane, Auckland Central, Auckland City",no_match,,
1144,"1 Creda Road, Wattle Downs, Manukau City",containment_match,Wattle Downs West,161100
1471,"1 Donald Gavin Way, 52 & 61 Gordon Francis Drive, Pukekohe East, Franklin",no_match,,
3095,"1 Elizabeth Street, Pakuranga, Manukau City",containment_match,Pakuranga West,149001
1228,"1 Endymion Place, Half Moon Bay, Manukau City",containment_match,Half Moon Bay West,147800
879,"1 Flavia Close, Torbay, North Shore City",containment_match,Torbay West,117201
1350,"1 Francis Curtis Avenue, Blockhouse Bay, Auckland City",containment_match,Blockhouse Bay East,139501
2609,"1 Ina Ville Drive, Pukekohe, Franklin",containment_match,Pukekohe West,165501
1465,"1 John Hindmarsh Road, Karaka, Franklin",containment_match,Pakaraka,103600
1528,"1 Kapai Road, Devonport, North Shore City",containment_match,Devonport,133000
3085,"1 KILBRYDE CRESCENT, Pokeno, Franklin",containment_match,Pōkeno Rural,170201
2302,"1 Konei Place, Okura Bush, Rodney",containment_match,Ōkura Bush,114801
3821,"1 Kopu Road, Orewa, Rodney",containment_match,Orewa West,112702
2774,"1 Liberty Crescent, Beachlands, Manukau City",no_match,,
330,"1 Louvain Avenue, Mount Roskill, Auckland City",containment_match,Mount Roskill West,139601
1226,"1 Manawanui Way, Orewa, Rodney",containment_match,Orewa West,112702
3939,"1 Marine Park Avenue, Rakino Island, Hauraki Gulf Islands",no_match,,
153,"1 McGill Road, Pokeno, Franklin",containment_match,Pōkeno Rural,170201
1374,"1 Montclair Rise, Browns Bay, North Shore City",containment_match,Browns Bay Central,118300
699,"1 Nerita Place, Long Bay, North Shore City",containment_match,Long Bay,116500
34,"1 Old Pine Valley Road, Dairy Flat, Rodney",containment_match,Dairy Flat West,113500
4131,"1 Omanawa Lane, Great Barrier Island, Hauraki Gulf Islands",containment_match,Barrier Islands,111801
1601,"1 Otaimako Place, Mangere, Manukau City",containment_match,Māngere West,148901
1948,"1 Rame Road, Greenhithe, North Shore City",containment_match,Greenhithe West,118900
3111,"1 Realm Place, Massey, Waitakere City",containment_match,Massey West,121701
1307,"1 Rosalie Bay Road, Great Barrier Island, Hauraki Gulf Islands",containment_match,Barrier Islands,111801
685,"1 Rosehill Drive, Papakura, Papakura",containment_match,Papakura West,162800
949,"1 Rothschild Terrace, Waiheke Island, Waiheke Island",containment_match,Bays Waiheke Island,147300
630,"1 Sai Ridge Close, Pukekohe, Franklin",containment_match,Pukekohe West,165501
2634,"1 Sawyers Lane, Millwater, Rodney",containment_match,Millwater North,112902
1366,"1 Scarlet Oak Drive, Schnapper Rock, North Shore City",containment_match,Schnapper Rock,118400
1216,"1 Taruna Lane, Manukau, Manukau City",containment_match,Manuka,246300
2683,"1 Tauhinu Road, Greenhithe, North Shore City",containment_match,Greenhithe West,118900
3810,"1 Walter Strevens Drive, Takanini, Papakura",containment_match,Takanini East,162102
2288,"1 Watson Place, Wellsford, Rodney",containment_match,Wellsford,110501
2074,"1 Whitford Park Road, Whitford, Manukau City",no_match,,
3868,"1 Wynne Gray Avenue, Stonefields, Auckland City",containment_match,Stonefields West,144900
1647,"1&2/110 Celtic Crescent, Ellerslie, Auckland City",containment_match,Ellerslie West,144201
186,"1&2/114 Eban Avenue, Hillcrest, North Shore City",containment_match,Hillcrest,200200
3846,"1, 3,4,5/9 Kesteven Avenue, Glendowie, Auckland City",no_match,,
4090,"1,2&3/28 Thomas Road, Mangere, Manukau City",no_match,,
